player_id,balls_bowled,runs_conceded,wickets,overs_bowled,balls_pp,runs_pp,wickets_pp,balls_middle,runs_middle,wickets_middle,balls_death,runs_death,wickets_death,pace_count,spin_count,eco_overall,eco_pp,eco_middle,eco_death,sr_overall,wk_rate,pct_pace
6097,99,131,0,16.3,18,29,0,51,54,0,30,48,0,99,0,7.9393939393939394,9.666666666666668,6.352941176470589,9.600000000000001,0,0.0,1.0
1389,76,158,0,12.4,33,83,0,27,40,0,16,35,0,76,0,12.473684210526315,15.09090909090909,8.88888888888889,13.125,0,0.0,1.0
6518,33,50,0,5.3,13,13,0,8,20,0,12,17,0,33,0,9.09090909090909,6.0,15.0,8.5,0,0.0,1.0
6256,553,631,0,92.1,127,132,0,354,430,0,72,69,0,0,553,6.846292947558769,6.2362204724409445,7.288135593220339,5.75,0,0.0,0.0
3282,25,52,0,4.1,6,15,0,19,37,0,0,0,0,0,25,12.48,15.0,11.68421052631579,0.0,0,0.0,0.0
2439,68,77,0,11.2,19,37,0,42,35,0,7,5,0,0,68,6.794117647058823,11.68421052631579,5.0,4.285714285714286,0,0.0,0.0
360,610,645,0,101.4,387,338,0,61,81,0,162,226,0,610,0,6.3442622950819665,5.24031007751938,7.967213114754098,8.37037037037037,0,0.0,1.0
2407,18,19,0,3.0,0,0,0,18,19,0,0,0,0,0,18,6.333333333333334,0.0,6.333333333333334,0.0,0,0.0,0.0
7690,62,84,0,10.2,26,41,0,36,43,0,0,0,0,0,62,8.129032258064516,9.461538461538462,7.166666666666666,0.0,0,0.0,0.0
4237,128,180,0,21.2,0,0,0,112,154,0,16,26,0,0,128,8.4375,0.0,8.25,9.75,0,0.0,0.0
5738,98,121,0,16.2,48,67,0,32,29,0,18,25,0,98,0,7.408163265306122,8.375,5.4375,8.333333333333332,0,0.0,1.0
4823,185,193,0,30.5,66,57,0,80,100,0,39,36,0,0,185,6.2594594594594595,5.181818181818182,7.5,5.538461538461538,0,0.0,0.0
5041,280,394,0,46.4,81,120,0,76,108,0,123,166,0,280,0,8.442857142857143,8.88888888888889,8.526315789473685,8.097560975609756,0,0.0,1.0
1944,254,358,0,42.2,37,56,0,211,289,0,6,13,0,0,254,8.456692913385826,9.08108108108108,8.218009478672986,13.0,0,0.0,0.0
27960,77,78,0,12.5,20,17,0,38,46,0,19,15,0,77,0,6.077922077922077,5.1,7.2631578947368425,4.7368421052631575,0,0.0,1.0
6628,125,167,0,20.5,53,75,0,18,28,0,54,64,0,125,0,8.016,8.49056603773585,9.333333333333334,7.111111111111111,0,0.0,1.0
6726,171,261,0,28.3,30,50,0,62,86,0,79,125,0,171,0,9.157894736842106,10.0,8.322580645161292,9.49367088607595,0,0.0,1.0
4101,174,172,0,29.0,39,22,0,116,132,0,19,18,0,0,174,5.931034482758621,3.3846153846153846,6.827586206896552,5.684210526315789,0,0.0,0.0
4219,13,14,0,2.1,13,14,0,0,0,0,0,0,0,0,13,6.461538461538462,6.461538461538462,0.0,0.0,0,0.0,0.0
4658,24,34,0,4.0,12,28,0,6,3,0,6,3,0,0,24,8.5,14.0,3.0,3.0,0,0.0,0.0
2687,124,111,0,20.4,12,7,0,112,104,0,0,0,0,0,124,5.370967741935484,3.5,5.571428571428571,0.0,0,0.0,0.0
6286,90,117,0,15.0,25,37,0,31,34,0,34,46,0,90,0,7.800000000000001,8.879999999999999,6.580645161290322,8.117647058823529,0,0.0,1.0
507,21,38,0,3.3,0,0,0,21,38,0,0,0,0,0,21,10.857142857142858,0.0,10.857142857142858,0.0,0,0.0,0.0
6355,60,82,0,10.0,42,58,0,7,7,0,11,17,0,60,0,8.2,8.285714285714285,6.0,9.272727272727273,0,0.0,1.0
