player_id,player_name,career_is_capped,cap_prob_model,career_role_guess,career_batting_runs,career_bat_avg,career_bat_sr,career_bowling_wickets,career_bow_econ,venue_fit_score,runs_slope,wk_slope,career_matches_played,career_age_years
5692,Aushik Srinivas,False,0.4912869555095511,finishing allrounder,2.0,,100.0,13.0,7.086206896551724,100.0,,-0.3,22.0,32.7
5699,Santha Moorthy,False,0.4742076878227692,finishing allrounder,17.0,,80.95238095238095,16.0,8.136986301369863,80.95238095238095,,-2.4615384615384617,11.0,46.21
57003,Akram Khan M,False,0.407153826762538,finisher,12.0,,75.0,,,1.2117321465424022,,,2.0,25.9
57004,Sachin Rathi,False,0.41971863688267197,finishing allrounder,3.0,,15.789473684210526,10.0,8.204819277108435,0.7590419585691863,,7.999999999999998,8.0,22.06
57007,Pankaj Sharma,False,0.4277667892515437,top/middle,80.0,,190.47619047619048,,,190.47619047619048,,,1.0,25.9
57064,B Rilasa Reddy,False,0.39819678318754337,top/middle,0.0,,0.0,,,0.0,,,2.0,19.99
57070,S D N V Prasad,False,0.4356139212883139,finisher,258.0,,135.78947368421052,,,6.185244538134302,-101.99999999999997,,19.0,22.07
57081,P Manikanta Gangadhar,False,0.4115212528947714,finishing allrounder,1.0,,100.0,7.0,9.36,100.0,,-0.9999999999999998,4.0,26.07
571,Parvez Aziz,False,0.4901205864657259,finishing allrounder,108.0,,121.34831460674157,10.0,5.55,9.896641742293436,-15.0,5.999999999999999,14.0,37.97
5737,Ashwin Venkataraman,False,0.4560804532249667,top/middle,59.0,,73.75,,,2.5773726051171186,-46.999999999999986,,8.0,36.41
57373,P Nirmal Kumar,False,0.44493123257258993,finishing allrounder,123.0,,105.12820512820512,1.0,9.9,2.653885976453364,24.999999999999993,0.9999999999999998,11.0,23.73
5738,Xavier Bartlett,True,0.5149260325428329,finishing allrounder,29.0,,67.44186046511628,20.0,7.834862385321101,0.8842435060227735,18.99999999999999,3.999999999999999,18.0,26.94
57383,Arunraj S,False,0.39683201733994855,finisher,3.0,,60.0,,,60.0,,,2.0,23.28
5739,R Vivek,False,0.5660531231799072,batting allrounder,637.0,,141.8708240534521,10.0,7.949238578680203,11.413011091468618,-32.4,-1.142857142857143,37.0,34.46
57431,Arasada Kishore,False,0.4104586117796974,top/middle,18.0,,46.15384615384615,,,46.15384615384615,,,2.0,28.31
57432,Sayed Izharuddin,False,0.39053218722594496,finisher,27.0,,69.23076923076923,,,69.23076923076923,,,3.0,25.9
57433,S Dinesh Raj,False,0.4434586045441774,finisher,68.0,,144.68085106382978,,,1.2985720838509578,-11.999999999999998,,17.0,23.06
