player_id,player_name,career_is_capped,cap_prob_calibrated,cap_prob_calibrated_age,career_role_guess,career_batting_runs,career_bat_avg,career_bat_sr,career_bowling_wickets,career_bow_econ,venue_fit_score,runs_slope,wk_slope,career_matches_played,career_age_years
1884,Ravi Jangid,FALSE,0.112,0.0784,finishing allrounder,21,,116.66666666666667,2,10.548387096774194,1.4685089149946102,-19,-2,6,38.48
1885,Himanshu Joshi,FALSE,0.112,0.0784,top/middle,50,,111.11111111111111,0,13.846153846153847,111.11111111111111,,,1,38.76
1886,Akshay Wakhare,FALSE,0.097765363,0.068435754,finishing allrounder,0,,0,1,6.795918367346939,0,,-1,5,40.15
189,Harbhajan Singh,TRUE,0.48437499999999994,0.33906249999999993,finishing allrounder,4,,100,0,8,100,,,3,45.4
1890,Kumar Deobrat,FALSE,0.098930481,0.084090909,top/middle,57,,101.78571428571429,,,12.064344823552508,6.4999999999999964,,3,33.09
1895,Avi Barot,FALSE,0.2,0.17,opener,264,,192.7007299270073,1,10.333333333333334,192.7007299270073,,,4,33.42
19012,Zeeshan Ali,TRUE,0.48437499999999994,0.33906249999999993,opener,144,,97.95918367346938,,,3.0024774477100142,15.214285714285712,,11,36.45
19020,Ateeq Iqbal,FALSE,0.039421813,0.033508541,finishing allrounder,3,,60,7,7.2993630573248405,1.9695553920533262,0.9999999999999998,-1,8,33.97
19062,Shaik Rafi,FALSE,0.039421813,0.039421813,finishing allrounder,6,,66.66666666666667,6,7.589743589743589,66.66666666666667,,,6,27.1
19072,Dharani Kumar,FALSE,0.039421813,0.039421813,top/middle,81,,100,0,11,100,-77,,9,24.11
19074,Gulfaam Saleh,FALSE,0.039421813,0.039421813,opener,32,,139.1304347826087,,,139.1304347826087,,,3,30.08
19083,Maheep Kumar,FALSE,0.039421813,0.039421813,top/middle,325,,118.18181818181819,,,118.18181818181819,200.99999999999997,,14,27.07
19086,K N Prudhvi Raj,FALSE,0.039421813,0.039421813,finisher,22,,64.70588235294117,,,64.70588235294117,,,6,26.21
19090,Gundluri Ashish Reddy,FALSE,0.027149321266968326,0.027149321266968326,finisher,3,,100,,,100,,,5,23.36
19093,K Sai Rahul,FALSE,0.097765363,0.097765363,batting allrounder,273,,152.51396648044692,4,8.916666666666666,152.51396648044692,46.999999999999986,-4,11,26.21
19096,Bodhala Vinay Kumar,FALSE,0.098930481,0.098930481,finishing allrounder,94,,144.6153846153846,15,7.5566750629722925,1.7046176299437215,-46,-3,19,26.99
19097,Andimani Teja,FALSE,0.039421813,0.039421813,finishing allrounder,1,,100,1,12,100,,-1,2,24.91
19098,Pyla Avinash,FALSE,0.112,0.112,top/middle,342,,133.0739299610895,,,1.7264329849939273,-88,,16,25.39
19103,Dhruva Kumar Reddy,FALSE,0.057692307692307696,0.057692307692307696,top/middle,231,,126.92307692307692,0,5.25,126.92307692307692,-61,,11,27.91
19108,B Varma,FALSE,0.097765363,0.097765363,finishing allrounder,134,,154.02298850574712,6,10.246153846153845,154.02298850574712,-26,1.9999999999999996,15,26.74
19111,Shaik Abbas,FALSE,0.039421813,0.039421813,finisher,107,,187.71929824561403,,,187.71929824561403,,,6,25.14
19112,Pinninti Tapaswi,FALSE,0.36,0.36,batting allrounder,292,,156.14973262032086,7,8.635135135135135,3.833424835210531,66.49999999999997,1.9999999999999993,14,29.29
19125,Ayush Shukla,TRUE,0.38461538461538464,0.38461538461538464,finishing allrounder,2,,25,6,9.038961039,1.3566555423493238,0,0.8571428571428571,8,23.08
19126,Pinninti Tejaswi,FALSE,0.039421813,0.039421813,finishing allrounder,25,,92.59259259,7,8.016393443,92.59259259,-21,2.9999999999999996,14,25.46
19141,M Hemanth Reddy,FALSE,0.097765363,0.097765363,batting allrounder,286,,154.59459459459458,8,8.016806722689076,154.59459459459458,51.99999999999997,7.999999999999998,12,23.08
19144,AV Surya,FALSE,0.039421813,0.039421813,top/middle,59,,128.2608695652174,,,128.2608695652174,,,4,
19145,Aamer Jamal,FALSE,0.21153846153846154,0.21153846153846154,finishing allrounder,38,,140.74074074074073,11,8.393442623,1.111857585577317,-0.5,0.7857142857142859,9,29.39
19148,Karan Kannan,FALSE,0.098930481,0.098930481,finishing allrounder,258,,109.7872340425532,14,6.619047619047619,109.7872340425532,55.999999999999986,9.999999999999996,22,24.04
1915,Adam Rossington,FALSE,0.039421813,0.033508541,opener,23,,115,,,115,,,3,32.56
19150,Vinukonda Venu,FALSE,0.039421813,0.039421813,finishing allrounder,10,,111.11111111111111,5,6.571428571428571,111.11111111111111,,,5,29.13
1923,Vinay Choudhary,FALSE,0.057692307692307696,0.049038462,finishing allrounder,27,,79.41176470588235,5,9.253731343283581,79.41176470588235,,,11,32.23
1924,Sam Billings,TRUE,0.8904109589041096,0.7568493150684932,top/middle,257,,114.73214285714286,,,2.2936764099548106,-12.5,,15,34.45
19291,Robin Das,FALSE,0.039421813,0.039421813,top/middle,0,,0,,,0,,,2,23.75
19309,Lahiru Udara,FALSE,0.039421813,0.039421813,opener,103,,149.2753623188406,,,149.2753623188406,,,5,32
19312,Nuwan Thushara,TRUE,0.9411764705882353,0.9411764705882353,finishing allrounder,4,,25,30,7.660550458715596,0.8714559975121635,-0.357142857,4.285714285714285,30,31.31
19315,Vijayakanth Viyaskanth,FALSE,0.2,0.2,finishing allrounder,26,,81.25,11,7.172413793103448,1.1366748807112994,-7.5,3.14018491736755e-16,12,23.98
19316,Maheesh Theekshana,TRUE,1,1,finishing allrounder,76,,55.072463768115945,82,7.369598373157092,0.7504058343661132,6.700000000000002,2.9000000000000004,82,25.32
