player_id,career_matches_played,career_batting_runs,career_batting_innings,career_bat_sr,career_bat_avg,career_bowling_wickets,career_bowling_innings,career_bow_econ,career_bow_sr,m12_matches_played,m12_batting_runs,m12_batting_innings,m12_bat_sr,m24_matches_played,m24_batting_runs,m24_batting_innings,m24_bat_sr
49674,14,305,14,132.03463203463204,,,,,,4,28,4,82.35294118,,,,
49677,7,79,5,117.91044776119404,,,,,,7,79,5,117.91044776119404,,,,
49682,15,178,9,181.6326530612245,,,,,,2,20,1,181.8181818181818,,,,
497,48,1614,48,122.64437689969606,,,,,,34,1201,34,121.06854838709677,19,709,19,122.03098106712565
4973,13,2,4,40,,15,13,6.605504587155964,21.8,13,2,4,40,,,,
4974,5,69,4,85.18518518518519,,2,5,8.4375,32,3,66,3,89.18918919,,,,
49803,3,2,2,28.571428571428573,,,,,,,,,,,,,
49805,3,20,3,68.96551724137932,,,,,,3,20,3,68.96551724137932,,,,
49811,9,22,3,129.41176470588235,,6,7,5.438848920863309,23.166666666666668,9,22,3,129.41176470588235,,,,
49815,3,1,2,50,,3,3,6.9818181818181815,18.333333333333332,3,1,2,50,,,,
49816,16,88,10,103.52941176470588,,1,2,3.4285714285714284,14,16,88,10,103.52941176470588,,,,
49818,4,24,2,109.0909090909091,,3,4,9.12,16.666666666666668,,,,,,,,
49820,7,36,7,94.73684210526316,,11,6,2.8,10.909090909090908,7,36,7,94.73684210526316,,,,
49822,4,9,3,45,,,,,,4,9,3,45,,,,
49826,6,123,6,91.79104478,,,,,,,,,,,,,
49827,12,34,7,94.44444444444444,,8,9,5.089887640449438,22.25,11,34,7,94.44444444444444,,,,
49832,14,110,14,70.06369426751593,,0,1,9.428571428571429,,11,70,11,64.22018348623853,,,,
49833,3,2,1,50,,1,3,6.315789473684211,57,3,2,1,50,,,,
49835,13,164,13,88.64864864864865,,,,,,10,130,10,90.27777777777777,,,,
49836,3,16,2,94.11764705882354,,,,,,3,16,2,94.11764705882354,,,,
4985,14,289,15,120.92050209205021,,,,,,14,284,14,123.47826086956522,4,120,4,136.36363636363637
49850,3,5,2,33.333333333333336,,,,,,3,5,2,33.333333333333336,,,,
49851,10,43,8,76.78571428571429,,11,6,4.299212598425197,11.545454545454545,7,16,5,100,,,,
4986,92,1913,82,141.7037037037037,,2,10,9.6,40,72,1521,64,142.6829268292683,44,923,40,146.04430379746836
499,69,1500,63,135.01350135013502,,76,68,6.182539682539683,19.894736842105264,69,1500,63,135.01350135013502,56,1245,52,133.72717508055854
4992,4,37,3,115.625,,,,,,1,0,1,0,1,0,1,0
4995,11,341,10,122.22222222222223,,0,1,4.5,,3,90,2,169.81132075471697,3,90,2,169.81132075471697
500,5,56,5,107.6923076923077,,,,,,5,56,5,107.6923076923077,2,28,2,127.27272727272727
5010,13,247,10,126.0204081632653,,5,7,8.513513513513514,14.8,2,69,2,138,2,69,2,138
50192,4,18,2,81.81818181818181,,5,4,9.333333333333334,10.8,4,18,2,81.81818181818181,,,,
