player_id,player_name,career_is_capped,cap_prob_gb,cap_prob_gb_age,career_role_guess,career_batting_runs,career_bat_avg,career_bat_sr,career_bowling_wickets,career_bow_econ,career_matches_played,career_age_years,venue_fit_score,runs_slope,wk_slope
43282,Vanshraj Chauhan,False,0.0002762287409579119,0.0002762287409579119,finisher,0.0,,0.0,0.0,9.0,2.0,21.56,0.0,,
43283,Prateek Pandey,True,0.9992039528476087,0.9992039528476087,finisher,225.0,,136.36363636363637,,,14.0,23.84,29.12093806694247,-19.499999999999996,
43284,Divyam Rawat,False,1.261376328125624e-05,1.261376328125624e-05,opener,99.0,,137.5,,,3.0,21.71,137.5,,
43285,Naveen Rana,True,0.9810397996341627,0.9810397996341627,finishing allrounder,3.0,,42.857142857142854,4.0,9.688524590163935,8.0,23.27,42.857142857142854,,0.0
43286,Vijay Bora,False,0.008798844388374851,0.008798844388374851,opener,66.0,,194.11764705882354,,,2.0,25.81,194.11764705882354,,
43287,Devendra Bora,True,0.9975849282369145,0.9975849282369145,finishing allrounder,2.0,,40.0,23.0,7.544554455445544,14.0,24.97,0.697246230432634,0.9999999999999998,4.499999999999999
43288,Shashank Krishnamurti,False,1.846079719239875e-05,1.846079719239875e-05,top/middle,23.0,,85.18518518518519,,,2.0,22.21,85.18518518518519,,
43289,Amol Bhartwal,False,0.010403985384090373,0.010403985384090373,finisher,4.0,,57.142857142857146,,,1.0,29.37,57.142857142857146,,
43290,Himanshu Shelly,False,0.004888165408408198,0.004154940597146968,finishing allrounder,2.0,,33.333333333333336,1.0,15.6,2.0,34.0,33.333333333333336,,
43291,Vinay S Bagari,False,0.03557842604155747,0.03557842604155747,finisher,1.0,,50.0,0.0,10.0,1.0,22.84,50.0,,
43292,Aryan Chaudhary,True,0.9911246254205416,0.9911246254205416,finishing allrounder,53.0,,117.77777777777777,3.0,9.164835164835164,5.0,23.18,117.77777777777777,-44.999999999999986,-0.9999999999999998
43293,Kunalveer Singh,True,0.9979616560501471,0.9979616560501471,top/middle,138.0,,127.77777777777777,,,9.0,,127.77777777777777,-45.999999999999986,
43294,Ishagra Jagoori,True,0.9993695505437168,0.9993695505437168,top/middle,98.0,,155.55555555555554,,,6.0,,0.8906469408280571,48.499999999999986,
43295,Aryan Sharma,True,0.9997811726308478,0.9997811726308478,batting allrounder,353.0,,135.24904214559388,4.0,7.694117647058824,16.0,24.83,4.358636620278649,18.499999999999996,1.9999999999999996
43296,Sanjeet Sajwan,False,0.009139528566334577,0.007768599281384391,finisher,9.0,,64.28571428571429,,,6.0,34.08,64.28571428571429,,
43298,Sparsh Joshi,True,0.9998857103771913,0.9998857103771913,finishing allrounder,80.0,,114.28571428571429,8.0,10.02127659574468,8.0,25.15,1.3552581863631368,-27.999999999999993,-1.9999999999999996
43299,Gaurav Negi,True,0.9990992446011374,0.9990992446011374,finishing allrounder,9.0,,42.857142857142854,3.0,6.193548387096774,6.0,24.94,1.8424313658327514,-2.499999999999999,-1.4999999999999998
43301,Mukesh Gupta,True,0.9733389963896302,0.9733389963896302,top/middle,59.0,,83.09859154929578,,,4.0,28.12,4.156420922247731,-15.499999999999993,
43303,Jagmohan Nagarkoti,True,0.9844860542598324,0.9844860542598324,finishing allrounder,2.0,,25.0,15.0,8.523076923076923,9.0,25.54,25.0,,4.499999999999998
