player_id,SelectionScore,career_batting_runs,career_bat_avg,career_bat_sr,career_bowling_wickets,career_bow_econ,venue_fit_score,runs_slope,wk_slope
33075,0.3881615613514231,99,0,89.18918919,43,8.262569832402235,9.815011958679005,-3.3,0.3
5681,0.3873415275774075,554,0,157.83475783475782,18,7.162055336,5.351808317442134,36.400000000000006,0.2999999999999999
5882,0.38700739914956817,1533,0,116.4009111617312,4,8.627737226277372,2.537531540343742,-8.5,-8.78E-18
56186,0.3862221139062278,14,0,107.6923076923077,29,8.197752808988763,107.6923076923077,13.999999999999996,3
46280,0.3861981484760109,13,0,130,31,6.544629349470499,1.722238939263241,-4.5,1.4999999999999991
35014,0.38607400822786714,77,0,114.92537313432835,31,6.5588235294117645,3.5420970294071377,50.99999999999999,12.999999999999991
7954,0.38578815707472325,37,0,132.14285714285714,27,6.661016949152542,1.118777817181395,0,16.999999999999996
24606,0.3844931864827512,196,0,163.33333333333334,3,3.4285714285714284,163.33333333333334,39.99999999999999,0
7658,0.38406676847216964,94,0,104.44444444444444,27,6.953846153846154,104.44444444444444,5.928571428571429,3.2142857142857157
43774,0.3835978511594105,1049,0,131.9496855345912,0,2.4,1.9572020194594544,86.59999999999997,0
25676,0.38337974744594355,475,0,110.72261072261072,26,6.824242424242424,7.6156286919675935,34.99999999999998,2.499999999999999
43924,0.3832433851275477,285,0,183.8709677419355,18,8.960784314,183.8709677419355,-66,-2
7326,0.38283312252337265,77,0,160.41666666666666,24,8.459227467811159,1.871975537,2.771428571,5.142857142857143
6526,0.3821933009793295,1038,0,145.3781512605042,9,9.664429530201344,3.2424351204060384,94.3,4.999999999999998
67004,0.3817105614336097,11,0,275,4,11.076923076923077,275,0,0
